Block ID | Timestep | Precision@500
---------|---------|--------------
block 14, timestep 10, precision_k: 0.2720
block 14, timestep 11, precision_k: 0.2580
block 14, timestep 12, precision_k: 0.2540
block 14, timestep 13, precision_k: 0.2520
block 14, timestep 14, precision_k: 0.2460
block 14, timestep 15, precision_k: 0.2480
block 14, timestep 16, precision_k: 0.2440
block 14, timestep 17, precision_k: 0.2440
block 14, timestep 18, precision_k: 0.2440
block 14, timestep 19, precision_k: 0.2480
block 14, timestep 2, precision_k: 0.3480
block 14, timestep 20, precision_k: 0.2540
block 14, timestep 21, precision_k: 0.2580
block 14, timestep 22, precision_k: 0.2460
block 14, timestep 23, precision_k: 0.2400
block 14, timestep 24, precision_k: 0.2420
block 14, timestep 25, precision_k: 0.2460
block 14, timestep 26, precision_k: 0.2360
block 14, timestep 27, precision_k: 0.2000
block 14, timestep 28, precision_k: 0.1740
block 14, timestep 29, precision_k: 0.1460
block 14, timestep 3, precision_k: 0.3340
block 14, timestep 30, precision_k: 0.1140
block 14, timestep 4, precision_k: 0.3060
block 14, timestep 5, precision_k: 0.2880
block 14, timestep 6, precision_k: 0.2920
block 14, timestep 7, precision_k: 0.2920
block 14, timestep 8, precision_k: 0.3080
block 14, timestep 9, precision_k: 0.2860
block 15, timestep 1, precision_k: 0.7660
block 15, timestep 10, precision_k: 0.3740
block 15, timestep 11, precision_k: 0.3560
block 15, timestep 12, precision_k: 0.3280
block 15, timestep 13, precision_k: 0.3060
block 15, timestep 14, precision_k: 0.2840
block 15, timestep 15, precision_k: 0.2660
block 15, timestep 16, precision_k: 0.2540
block 15, timestep 17, precision_k: 0.2380
block 15, timestep 18, precision_k: 0.2220
block 15, timestep 19, precision_k: 0.2160
block 15, timestep 2, precision_k: 0.8100
block 15, timestep 20, precision_k: 0.2060
block 15, timestep 21, precision_k: 0.1940
block 15, timestep 22, precision_k: 0.1880
block 15, timestep 23, precision_k: 0.1820
block 15, timestep 24, precision_k: 0.1620
block 15, timestep 25, precision_k: 0.1560
block 15, timestep 26, precision_k: 0.1360
