使用生成的对角线模板
阈值: 0.9
找到 682 个匹配结果:
Block 0, Step 2, 相似度: 0.9539
Block 4, Step 4, 相似度: 0.9539
Block 1, Step 4, 相似度: 0.9536
Block 17, Step 7, 相似度: 0.9534
Block 18, Step 16, 相似度: 0.9534
Block 2, Step 13, 相似度: 0.9534
Block 10, Step 4, 相似度: 0.9533
Block 4, Step 5, 相似度: 0.9531
Block 0, Step 1, 相似度: 0.9531
Block 20, Step 6, 相似度: 0.9530
Block 9, Step 6, 相似度: 0.9528
Block 2, Step 14, 相似度: 0.9527
Block 3, Step 12, 相似度: 0.9526
Block 17, Step 8, 相似度: 0.9525
Block 18, Step 17, 相似度: 0.9525
Block 7, Step 5, 相似度: 0.9525
Block 1, Step 5, 相似度: 0.9524
Block 6, Step 14, 相似度: 0.9523
Block 2, Step 15, 相似度: 0.9521
Block 9, Step 7, 相似度: 0.9519
Block 4, Step 6, 相似度: 0.9518
Block 17, Step 9, 相似度: 0.9517
Block 18, Step 18, 相似度: 0.9516
Block 19, Step 10, 相似度: 0.9515
Block 21, Step 30, 相似度: 0.9515
Block 2, Step 16, 相似度: 0.9514
Block 3, Step 13, 相似度: 0.9512
Block 9, Step 8, 相似度: 0.9511
Block 18, Step 19, 相似度: 0.9509
Block 4, Step 7, 相似度: 0.9507
Block 15, Step 10, 相似度: 0.9506
Block 2, Step 17, 相似度: 0.9506
Block 1, Step 6, 相似度: 0.9506
Block 9, Step 9, 相似度: 0.9504
Block 18, Step 20, 相似度: 0.9502
Block 19, Step 11, 相似度: 0.9502
Block 2, Step 18, 相似度: 0.9500
Block 6, Step 15, 相似度: 0.9499
Block 3, Step 14, 相似度: 0.9498
Block 4, Step 8, 相似度: 0.9497
Block 8, Step 1, 相似度: 0.9497
Block 9, Step 10, 相似度: 0.9496
Block 13, Step 2, 相似度: 0.9496
Block 20, Step 7, 相似度: 0.9496
Block 18, Step 21, 相似度: 0.9496
Block 1, Step 7, 相似度: 0.9493
Block 7, Step 6, 相似度: 0.9493
Block 15, Step 11, 相似度: 0.9492
Block 19, Step 12, 相似度: 0.9492
Block 2, Step 19, 相似度: 0.9491
Block 18, Step 22, 相似度: 0.9490
Block 9, Step 11, 相似度: 0.9490
Block 9, Step 30, 相似度: 0.9486
Block 4, Step 9, 相似度: 0.9485
Block 9, Step 12, 相似度: 0.9485
Block 3, Step 15, 相似度: 0.9485
Block 18, Step 23, 相似度: 0.9484
Block 19, Step 13, 相似度: 0.9483
Block 1, Step 8, 相似度: 0.9483
Block 9, Step 29, 相似度: 0.9482
Block 15, Step 12, 相似度: 0.9481
Block 2, Step 20, 相似度: 0.9480
Block 9, Step 13, 相似度: 0.9480
Block 9, Step 28, 相似度: 0.9479
Block 12, Step 2, 相似度: 0.9479
Block 10, Step 5, 相似度: 0.9479
Block 18, Step 24, 相似度: 0.9478
Block 6, Step 16, 相似度: 0.9477
Block 12, Step 9, 相似度: 0.9476
Block 9, Step 27, 相似度: 0.9475
Block 12, Step 8, 相似度: 0.9475
Block 9, Step 14, 相似度: 0.9475
Block 3, Step 16, 相似度: 0.9474
Block 19, Step 14, 相似度: 0.9474
Block 1, Step 9, 相似度: 0.9473
Block 18, Step 25, 相似度: 0.9472
Block 15, Step 13, 相似度: 0.9472
Block 4, Step 10, 相似度: 0.9472
Block 9, Step 26, 相似度: 0.9471
Block 9, Step 15, 相似度: 0.9470
Block 9, Step 25, 相似度: 0.9467
Block 3, Step 17, 相似度: 0.9467
Block 19, Step 15, 相似度: 0.9467
Block 12, Step 7, 相似度: 0.9466
Block 18, Step 26, 相似度: 0.9466
Block 9, Step 16, 相似度: 0.9466
Block 0, Step 23, 相似度: 0.9466
Block 7, Step 7, 相似度: 0.9465
Block 2, Step 21, 相似度: 0.9465
Block 3, Step 18, 相似度: 0.9464
Block 1, Step 10, 相似度: 0.9464
Block 9, Step 24, 相似度: 0.9464
Block 3, Step 19, 相似度: 0.9462
Block 9, Step 17, 相似度: 0.9462
Block 15, Step 14, 相似度: 0.9462
Block 9, Step 23, 相似度: 0.9461
Block 3, Step 20, 相似度: 0.9461
Block 19, Step 16, 相似度: 0.9460
Block 9, Step 18, 相似度: 0.9460
Block 3, Step 21, 相似度: 0.9460
Block 9, Step 22, 相似度: 0.9459
Block 4, Step 11, 相似度: 0.9459
Block 18, Step 27, 相似度: 0.9459
Block 6, Step 17, 相似度: 0.9458
Block 20, Step 8, 相似度: 0.9458
Block 9, Step 19, 相似度: 0.9458
Block 9, Step 20, 相似度: 0.9457
Block 9, Step 21, 相似度: 0.9457
Block 3, Step 22, 相似度: 0.9457
Block 10, Step 6, 相似度: 0.9455
Block 19, Step 17, 相似度: 0.9454
Block 1, Step 11, 相似度: 0.9454
Block 15, Step 15, 相似度: 0.9454
Block 3, Step 23, 相似度: 0.9453
Block 18, Step 28, 相似度: 0.9453
Block 10, Step 7, 相似度: 0.9451
Block 19, Step 18, 相似度: 0.9448
Block 18, Step 29, 相似度: 0.9448
Block 3, Step 24, 相似度: 0.9448
Block 15, Step 16, 相似度: 0.9446
Block 1, Step 12, 相似度: 0.9445
Block 4, Step 12, 相似度: 0.9445
Block 6, Step 18, 相似度: 0.9444
Block 2, Step 22, 相似度: 0.9444
Block 7, Step 8, 相似度: 0.9444
Block 10, Step 8, 相似度: 0.9443
Block 19, Step 19, 相似度: 0.9443
Block 3, Step 25, 相似度: 0.9441
Block 15, Step 17, 相似度: 0.9439
Block 17, Step 10, 相似度: 0.9439
Block 18, Step 30, 相似度: 0.9438
Block 12, Step 6, 相似度: 0.9438
Block 19, Step 20, 相似度: 0.9437
Block 8, Step 2, 相似度: 0.9437
Block 1, Step 13, 相似度: 0.9436
Block 4, Step 13, 相似度: 0.9433
Block 15, Step 18, 相似度: 0.9433
Block 6, Step 19, 相似度: 0.9432
Block 12, Step 5, 相似度: 0.9432
Block 19, Step 21, 相似度: 0.9432
Block 10, Step 9, 相似度: 0.9431
Block 3, Step 26, 相似度: 0.9431
Block 15, Step 19, 相似度: 0.9428
Block 12, Step 10, 相似度: 0.9428
Block 20, Step 9, 相似度: 0.9427
Block 0, Step 4, 相似度: 0.9427
Block 1, Step 14, 相似度: 0.9426
Block 19, Step 22, 相似度: 0.9426
Block 15, Step 20, 相似度: 0.9426
Block 7, Step 9, 相似度: 0.9424
Block 15, Step 21, 相似度: 0.9424
Block 4, Step 14, 相似度: 0.9422
Block 17, Step 11, 相似度: 0.9422
Block 15, Step 22, 相似度: 0.9422
Block 19, Step 23, 相似度: 0.9421
Block 6, Step 20, 相似度: 0.9421
Block 2, Step 23, 相似度: 0.9420
Block 15, Step 23, 相似度: 0.9419
Block 1, Step 15, 相似度: 0.9419
Block 12, Step 11, 相似度: 0.9418
Block 19, Step 24, 相似度: 0.9418
Block 3, Step 27, 相似度: 0.9417
Block 15, Step 24, 相似度: 0.9416
Block 19, Step 25, 相似度: 0.9416
Block 12, Step 3, 相似度: 0.9416
Block 19, Step 26, 相似度: 0.9416
Block 19, Step 27, 相似度: 0.9415
Block 6, Step 21, 相似度: 0.9413
Block 4, Step 15, 相似度: 0.9413
Block 19, Step 28, 相似度: 0.9412
Block 1, Step 16, 相似度: 0.9412
Block 15, Step 25, 相似度: 0.9412
Block 11, Step 24, 相似度: 0.9409
Block 11, Step 23, 相似度: 0.9409
Block 12, Step 12, 相似度: 0.9408
Block 11, Step 25, 相似度: 0.9408
Block 0, Step 0, 相似度: 0.9408
Block 11, Step 22, 相似度: 0.9408
Block 17, Step 12, 相似度: 0.9408
Block 6, Step 22, 相似度: 0.9407
Block 11, Step 26, 相似度: 0.9407
Block 12, Step 4, 相似度: 0.9406
Block 11, Step 21, 相似度: 0.9406
Block 19, Step 29, 相似度: 0.9406
Block 1, Step 17, 相似度: 0.9406
Block 7, Step 10, 相似度: 0.9406
Block 11, Step 27, 相似度: 0.9405
Block 15, Step 26, 相似度: 0.9404
Block 4, Step 16, 相似度: 0.9404
Block 11, Step 20, 相似度: 0.9403
Block 6, Step 23, 相似度: 0.9403
Block 1, Step 18, 相似度: 0.9400
Block 0, Step 27, 相似度: 0.9400
Block 11, Step 19, 相似度: 0.9400
Block 11, Step 28, 相似度: 0.9399
Block 12, Step 13, 相似度: 0.9398
Block 19, Step 30, 相似度: 0.9398
Block 2, Step 24, 相似度: 0.9398
Block 16, Step 0, 相似度: 0.9397
Block 6, Step 24, 相似度: 0.9397
Block 3, Step 28, 相似度: 0.9397
Block 4, Step 17, 相似度: 0.9396
Block 11, Step 18, 相似度: 0.9396
Block 1, Step 19, 相似度: 0.9396
Block 0, Step 24, 相似度: 0.9396
Block 16, Step 1, 相似度: 0.9395
Block 15, Step 27, 相似度: 0.9394
Block 16, Step 5, 相似度: 0.9394
Block 17, Step 13, 相似度: 0.9394
Block 7, Step 11, 相似度: 0.9392
Block 1, Step 20, 相似度: 0.9392
Block 11, Step 17, 相似度: 0.9392
Block 6, Step 25, 相似度: 0.9390
Block 4, Step 18, 相似度: 0.9390
Block 16, Step 6, 相似度: 0.9390
Block 15, Step 30, 相似度: 0.9390
Block 1, Step 21, 相似度: 0.9389
Block 11, Step 29, 相似度: 0.9388
Block 8, Step 3, 相似度: 0.9387
Block 11, Step 16, 相似度: 0.9387
Block 1, Step 22, 相似度: 0.9386
Block 1, Step 23, 相似度: 0.9385
Block 1, Step 24, 相似度: 0.9384
Block 10, Step 10, 相似度: 0.9384
Block 4, Step 19, 相似度: 0.9384
Block 1, Step 25, 相似度: 0.9384
Block 1, Step 26, 相似度: 0.9383
Block 12, Step 14, 相似度: 0.9383
Block 0, Step 25, 相似度: 0.9382
Block 11, Step 15, 相似度: 0.9382
Block 1, Step 28, 相似度: 0.9382
Block 17, Step 14, 相似度: 0.9381
Block 15, Step 28, 相似度: 0.9381
Block 7, Step 12, 相似度: 0.9381
Block 16, Step 7, 相似度: 0.9381
Block 6, Step 26, 相似度: 0.9380
Block 1, Step 27, 相似度: 0.9380
Block 1, Step 29, 相似度: 0.9379
Block 4, Step 20, 相似度: 0.9379
Block 16, Step 4, 相似度: 0.9377
Block 1, Step 30, 相似度: 0.9377
Block 2, Step 25, 相似度: 0.9377
Block 11, Step 14, 相似度: 0.9377
Block 15, Step 29, 相似度: 0.9375
Block 0, Step 26, 相似度: 0.9375
Block 10, Step 11, 相似度: 0.9375
Block 16, Step 8, 相似度: 0.9375
Block 4, Step 21, 相似度: 0.9374
Block 11, Step 30, 相似度: 0.9372
Block 7, Step 13, 相似度: 0.9371
Block 11, Step 13, 相似度: 0.9371
Block 17, Step 15, 相似度: 0.9371
Block 6, Step 27, 相似度: 0.9371
Block 4, Step 22, 相似度: 0.9370
Block 13, Step 7, 相似度: 0.9368
Block 10, Step 12, 相似度: 0.9367
Block 12, Step 15, 相似度: 0.9367
Block 16, Step 9, 相似度: 0.9367
Block 5, Step 1, 相似度: 0.9366
Block 3, Step 29, 相似度: 0.9366
Block 11, Step 12, 相似度: 0.9366
Block 13, Step 8, 相似度: 0.9365
Block 4, Step 23, 相似度: 0.9365
Block 7, Step 14, 相似度: 0.9363
Block 17, Step 16, 相似度: 0.9363
Block 0, Step 5, 相似度: 0.9362
Block 20, Step 10, 相似度: 0.9362
